source_url,source_url_text,source_link_caption,target_url,target_url_text,target_link_caption,domain,depth,status_code,content_type,html_filename
http://www.reuters.com,Reuters: The Business of Information,,http://www.reuters.com/rtrnews/images/home.htm,Reuters: Top News,,www.reuters.com,1,200,text/html; charset=UTF-8,http___www_reuters_com_rtrnews_images_home_htm.html
http://www.reuters.com,Reuters: The Business of Information,,http://www.reuters.com/maps/flagbar2.map,Imagemap Error,,www.reuters.com,1,200,application/x-httpd-imap,http___www_reuters_com_maps_flagbar2_map.html
http://www.reuters.com,Reuters: The Business of Information,,http://www.reuters.com/maps/navrowhome.map,,,www.reuters.com,1,200,application/x-httpd-imap,http___www_reuters_com_maps_navrowhome_map.html
http://www.warpstream.net,WarpStream - Home,,http://www.warpstream.net/,WarpStream - Home,WarpStream - Home,www.warpstream.net,1,200,text/html; charset=UTF-8,http___www_warpstream_net_.html
http://www.warpstream.net/,WarpStream - Home,WarpStream - Home,http://www.warpstream.net/browse,WarpStream - Videos,Videos,www.warpstream.net,2,200,text/html; charset=UTF-8,http___www_warpstream_net_browse.html
http://www.warpstream.net/browse,WarpStream - Videos,Videos,http://www.warpstream.net/channels,WarpStream - Featured Channels,Channels,www.warpstream.net,3,200,text/html; charset=UTF-8,http___www_warpstream_net_channels.html
http://www.warpstream.net/channels,WarpStream - Featured Channels,Channels,http://www.warpstream.net/playlists,WarpStream - Featured Playlists,Playlists,www.warpstream.net,4,200,text/html; charset=UTF-8,http___www_warpstream_net_playlists.html
http://www.warpstream.net/playlists,WarpStream - Featured Playlists,Playlists,http://www.warpstream.net/settings,WarpStream - Settings,Settings,www.warpstream.net,5,200,text/html; charset=UTF-8,http___www_warpstream_net_settings.html
http://www.warpstream.net/settings,WarpStream - Settings,Settings,http://www.warpstream.net/history,WarpStream - Watch History,History,www.warpstream.net,6,200,text/html; charset=UTF-8,http___www_warpstream_net_history.html
http://www.warpstream.net/history,WarpStream - Watch History,History,http://www.warpstream.net/history?r=5,WarpStream - Watch History,,www.warpstream.net,7,200,text/html; charset=UTF-8,http___www_warpstream_net_history_r_5.html
http://www.warpstream.net/history?r=5,WarpStream - Watch History,,http://www.warpstream.net/history?r=10,WarpStream - Watch History,,www.warpstream.net,8,200,text/html; charset=UTF-8,http___www_warpstream_net_history_r_10.html
http://www.warpstream.net/history?r=10,WarpStream - Watch History,,http://www.warpstream.net/history?r=25,WarpStream - Watch History,,www.warpstream.net,9,200,text/html; charset=UTF-8,http___www_warpstream_net_history_r_25.html
http://www.warpstream.net/history?r=25,WarpStream - Watch History,,http://www.warpstream.net/history?r=50,WarpStream - Watch History,,www.warpstream.net,10,200,text/html; charset=UTF-8,http___www_warpstream_net_history_r_50.html
http://www.warpstream.net/history?r=10,WarpStream - Watch History,,http://www.warpstream.net/history?r=50,WarpStream - Watch History,,www.warpstream.net,9,200,text/html; charset=UTF-8,http___www_warpstream_net_history_r_50.html
http://www.warpstream.net/settings,WarpStream - Settings,Settings,http://www.warpstream.net/about.html,About WarpStream,About This Site,www.warpstream.net,6,200,text/html; charset=UTF-8,http___www_warpstream_net_about_html.html
http://www.warpstream.net/about.html,About WarpStream,About This Site,http://www.warpstream.net/help.html,WarpStream Support,Support Guide,www.warpstream.net,7,200,text/html; charset=UTF-8,http___www_warpstream_net_help_html.html
http://www.warpstream.net/help.html,WarpStream Support,Support Guide,http://www.warpstream.net/help.html#support,WarpStream Support,WarpStream Support,www.warpstream.net,8,200,text/html; charset=UTF-8,http___www_warpstream_net_help_html_support.html
http://www.warpstream.net/help.html#support,WarpStream Support,WarpStream Support,http://www.warpstream.net/help.html#win9x,WarpStream Support,Windows 95 / 98 / ME,www.warpstream.net,9,200,text/html; charset=UTF-8,http___www_warpstream_net_help_html_win9x.html
